Trials

NORMAL THROW #1
4756 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-1.16'/s, Y:-0.74'/s, Z:-0.29'/s
4951 ACCEL: X:0.22, Y:-0.06, Z:1.08   GYRO: X:-1.22'/s, Y:-0.68'/s, Z:-0.20'/s
5142 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.12'/s, Y:-0.69'/s, Z:-0.12'/s
5335 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-1.30'/s, Y:-0.62'/s, Z:-0.01'/s
5579 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.09'/s, Y:-0.69'/s, Z:-0.25'/s
5824 ACCEL: X:0.22, Y:-0.06, Z:1.08   GYRO: X:-1.01'/s, Y:-0.55'/s, Z:-0.18'/s
5964 ACCEL: X:0.21, Y:-0.06, Z:1.07   GYRO: X:-1.06'/s, Y:-0.75'/s, Z:-0.16'/s
6162 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-2.85'/s, Y:-0.52'/s, Z:-0.19'/s
6358 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.24'/s, Y:-0.88'/s, Z:-0.09'/s
6553 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.27'/s, Y:-0.64'/s, Z:-0.28'/s
6751 ACCEL: X:0.22, Y:-0.06, Z:1.08   GYRO: X:-1.02'/s, Y:-0.74'/s, Z:-0.27'/s
6948 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.06'/s, Y:-0.69'/s, Z:2.02'/s
7136 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-1.10'/s, Y:-0.66'/s, Z:-0.10'/s
7338 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-2.95'/s, Y:-0.52'/s, Z:-0.26'/s
7624 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.12'/s, Y:-0.52'/s, Z:-0.33'/s
7775 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-1.38'/s, Y:-0.68'/s, Z:-0.19'/s
7970 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.20'/s, Y:-0.81'/s, Z:-0.24'/s
8163 ACCEL: X:0.22, Y:-0.06, Z:1.08   GYRO: X:-1.28'/s, Y:-0.59'/s, Z:-0.12'/s
8358 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.07'/s, Y:-0.80'/s, Z:-0.01'/s
8601 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.21'/s, Y:-0.80'/s, Z:-0.35'/s
8759 ACCEL: X:0.21, Y:-0.05, Z:1.07   GYRO: X:-1.18'/s, Y:-0.52'/s, Z:-0.10'/s
8949 ACCEL: X:0.22, Y:-0.06, Z:1.08   GYRO: X:-1.15'/s, Y:-0.60'/s, Z:2.12'/s
9144 ACCEL: X:0.21, Y:-0.06, Z:1.09   GYRO: X:-1.06'/s, Y:-0.67'/s, Z:-0.28'/s
9338 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.16'/s, Y:-0.77'/s, Z:-0.20'/s
9580 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.18'/s, Y:-0.69'/s, Z:-0.17'/s
9775 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-1.09'/s, Y:-0.65'/s, Z:-0.02'/s
9970 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-1.22'/s, Y:-0.76'/s, Z:-0.10'/s
10167 ACCEL: X:0.21, Y:-0.06, Z:1.08   GYRO: X:-1.23'/s, Y:-0.64'/s, Z:-0.02'/s


UNDERROTATE #3
189 ACCEL: X:0.70, Y:-0.97, Z:-0.03   GYRO: X:-1.97'/s, Y:-2.21'/s, Z:21.84'/s
384 ACCEL: X:0.33, Y:-1.04, Z:-0.06   GYRO: X:-3.44'/s, Y:-4.04'/s, Z:3.30'/s
628 ACCEL: X:0.24, Y:-1.06, Z:-0.07   GYRO: X:-0.71'/s, Y:0.40'/s, Z:1.50'/s
824 ACCEL: X:0.21, Y:-0.98, Z:-0.08   GYRO: X:-8.86'/s, Y:-3.27'/s, Z:-16.11'/s
1012 ACCEL: X:1.00, Y:-1.43, Z:-0.10   GYRO: X:-3.80'/s, Y:-11.84'/s, Z:-50.48'/s
1220 ACCEL: X:0.39, Y:-0.78, Z:0.01   GYRO: X:-21.46'/s, Y:-12.25'/s, Z:-256.00'/s
1416 ACCEL: X:-0.12, Y:0.88, Z:0.15   GYRO: X:-8.73'/s, Y:-34.90'/s, Z:-256.00'/s
1608 ACCEL: X:-0.08, Y:1.48, Z:0.19   GYRO: X:-32.65'/s, Y:-4.72'/s, Z:-256.00'/s
